"","ShortName","TotalGPCD","TotPotaGPCD","PercentReduce","TargetCanMeet"
"1","Garden City",1693,1681,0.887182516243355,"No"
"2","Wellsville",630,240,0.696825396825397,"No"
"3","Brigham City",535,461,0.642990654205608,"No"
"4","Park City",450,421,0.575555555555556,"No"
"5","Green River",405,195,0.528395061728395,"No"
"6","Hurricane",348,200,0.451149425287356,"No"
"7","Moab",333,285,0.426426426426426,"No"
"8","St. George",300,237,0.363333333333333,"No"
"9","Providence",270,270,0.292592592592593,"No"
"10","North SLC",256,200,0.25390625,"No"
"11","South Jordan",238,171,0.197478991596639,"Yes"
"12","Price",228,222,0.162280701754386,"Yes"
"13","Kamas",223,213,0.143497757847534,"Yes"
"14","Ogden",207,146,0.0772946859903382,"Yes"
"15","Heber",201,122,0.0497512437810945,"Yes"
"16","West Jordan",194,180,0.0154639175257732,"Yes"
"17","Salt Lake City",191,191,0,"Yes"
"18","Provo",184,184,-0.0380434782608696,"Yes"
"19","Draper",142,142,-0.345070422535211,"Yes"
"20","Capital Reef NP",116,116,-0.646551724137931,"Yes"
